nces_id,name,state,enrollment
0407890,Somerton Elementary District (4500),AZ,2986
0407920,Sonoita Elementary District (4461),AZ,118
0408020,St David Unified District (4173),AZ,433
0408080,St Johns Unified District (4153),AZ,870
0408130,Stanfield Elementary District (4451),AZ,365
0408170,Sunnyside Unified District (4407),AZ,13979
0408230,Superior Unified School District (4440),AZ,306
0408280,Tanque Verde Unified District (4408),AZ,2212
0408310,Tempe School District (4258),AZ,10045
0408340,Tempe Union High School District (4287),AZ,11726
0408410,Thatcher Unified District (4219),AZ,1801
0408430,Paloma School District (4255),AZ,119
0408460,Hillside Elementary District (4482),AZ,6
0408490,Tolleson Elementary District (4264),AZ,2930
0408520,Tolleson Union High School District (4288),AZ,13931
0408550,Toltec School District (4450),AZ,1270
0408600,Tombstone Unified District (4168),AZ,874
0408640,Topock Elementary District (4376),AZ,77
0408680,Tuba City Unified School District #15 (4197),AZ,1381
0408800,Tucson Unified District (4403),AZ,40316
0408820,Union Elementary District (4277),AZ,1630
0408850,Vail Unified District (4413),AZ,15011
0408880,Valentine Elementary District (4380),AZ,87
0408910,Valley Union High School District (4190),AZ,71
0409060,Washington Elementary School District (4260),AZ,18816
0409090,Wellton Elementary District (4504),AZ,209
0409120,Wenden Elementary District (4512),AZ,68
0409160,Whiteriver Unified District (4394),AZ,2231
0409190,Wickenburg Unified District (4236),AZ,1079
0409250,Willcox Unified District (4170),AZ,1088
0409310,Williams Unified District (4193),AZ,654
0409390,Wilson Elementary District (4261),AZ,854
0409430,Window Rock Unified District (4154),AZ,1705
0409460,Winslow Unified District (4387),AZ,1825
0409510,Yarnell Elementary District (4485),AZ,42
0409540,Young Elementary District (4213),AZ,46
0409570,Yucca Elementary District (4377),AZ,27
0409600,Yuma Elementary District (4499),AZ,9102
0409630,Yuma Union High School District (4507),AZ,11217
0409733,Sedona-Oak Creek JUSD #9 (4467),AZ,693
0500001,DEWITT SCHOOL DISTRICT,AR,1153
0500006,WARREN SCHOOL DISTRICT,AR,1440
0500009,CORNING SCHOOL DISTRICT,AR,805
0500012,RIVERSIDE SCHOOL DISTRICT,AR,789
0500015,SHERIDAN SCHOOL DISTRICT,AR,4208
0500016,MARMADUKE SCHOOL DISTRICT,AR,648
0500017,PARAGOULD SCHOOL DISTRICT,AR,3166
0500019,BATESVILLE SCHOOL DISTRICT,AR,3513
0500020,MIDLAND SCHOOL DISTRICT,AR,513
0500021,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,AR,697
0500023,NEWPORT SCHOOL DISTRICT,AR,1239
0500026,PINE BLUFF SCHOOL DISTRICT,AR,2896
0500028,STAR CITY SCHOOL DISTRICT,AR,1460
0500029,GOSNELL SCHOOL DISTRICT,AR,1215
0500030,NEVADA SCHOOL DISTRICT,AR,426
0500032,BEARDEN SCHOOL DISTRICT,AR,446
0500041,WESTERN YELL COUNTY SCHOOL DISTRICT,AR,298
0500042,HAMBURG SCHOOL DISTRICT,AR,1697
0500043,MOUNTAIN HOME SCHOOL DISTRICT,AR,3817
0500044,MAGNOLIA SCHOOL DISTRICT,AR,2505
0500045,RIVERCREST SCHOOL DISTRICT,AR,1205
0500046,MANILA SCHOOL DISTRICT,AR,1077
0500047,TRUMANN SCHOOL DISTRICT,AR,1507
0500048,EAST POINSETT COUNTY SCHOOL DISTRICT,AR,599
0500049,DE QUEEN SCHOOL DISTRICT,AR,2365
0500051,PALESTINE WHEATLEY SCHOOL DISTRICT,AR,826
0500065,LAFAYETTE COUNTY SCHOOL DISTRICT,AR,472
0500067,CLEVELAND COUNTY SCHOOL DISTRICT,AR,741
0500068,EMERSON TAYLOR BRADLEY SCHOOL DISTRICT,AR,1280
0500070,CEDAR RIDGE SCHOOL DISTRICT,AR,636
0500071,HILLCREST SCHOOL DISTRICT,AR,442
0500072,DEER MT JUDEA SCHOOL DISTRICT,AR,349
0500073,OUACHITA RIVER SCHOOL DISTRICT,AR,735
0500076,OZARK MOUNTAIN SCHOOL DISTRICT,AR,495
0500079,TWO RIVERS SCHOOL DISTRICT,AR,707
0500082,LAWRENCE COUNTY SCHOOL DISTRICT,AR,1067
0500405,COSSATOT RIVER SCHOOL DISTRICT,AR,855
0500419,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,AR,4360
0502250,ALMA SCHOOL DISTRICT,AR,3092
0502280,ALPENA SCHOOL DISTRICT,AR,402
0502430,ARKADELPHIA SCHOOL DISTRICT,AR,1877
0502550,ARMOREL SCHOOL DISTRICT,AR,438
0502580,ASHDOWN SCHOOL DISTRICT,AR,1281
0502610,ATKINS SCHOOL DISTRICT,AR,951
0502670,AUGUSTA SCHOOL DISTRICT,AR,329
0502700,BALD KNOB SCHOOL DISTRICT,AR,1059
0502730,BARTON SCHOOL DISTRICT,AR,664
0502790,BAUXITE SCHOOL DISTRICT,AR,1717
0502820,BAY SCHOOL DISTRICT,AR,550
0502880,BEEBE SCHOOL DISTRICT,AR,3392
0502960,BENTON SCHOOL DISTRICT,AR,5806
0503030,PEA RIDGE SCHOOL DISTRICT,AR,2670
0503060,BENTONVILLE SCHOOL DISTRICT,AR,19575
0503090,BERGMAN SCHOOL DISTRICT,AR,1102
0503150,BERRYVILLE SCHOOL DISTRICT,AR,1797
0503240,BISMARCK SCHOOL DISTRICT,AR,1034
0503300,BLEVINS SCHOOL DISTRICT,AR,379
0503320,BLYTHEVILLE SCHOOL DISTRICT,AR,1295
0503420,LEAD HILL SCHOOL DISTRICT,AR,370
0503450,BOONEVILLE SCHOOL DISTRICT,AR,1355
0503480,BRADFORD SCHOOL DISTRICT,AR,434
0503630,BRINKLEY SCHOOL DISTRICT,AR,432
0503640,BROOKLAND SCHOOL DISTRICT,AR,3213
0503690,BRYANT SCHOOL DISTRICT,AR,9827
0503710,BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,AR,720
0503750,CABOT SCHOOL DISTRICT,AR,10672
0503770,CADDO HILLS SCHOOL DISTRICT,AR,585
0503840,CALICO ROCK SCHOOL DISTRICT,AR,347
0503960,CARLISLE SCHOOL DISTRICT,AR,660
0504020,WESTSIDE CONSOLIDATED SCHOOL DISTRICT (Craighead),AR,1817
0504050,CAVE CITY SCHOOL DISTRICT,AR,1239
0504080,CEDARVILLE SCHOOL DISTRICT,AR,731
0504110,GENOA CENTRAL SCHOOL DISTRICT,AR,1213
0504170,WHITE COUNTY CENTRAL SCHOOL DISTRICT,AR,930
0504200,CHARLESTON SCHOOL DISTRICT,AR,912
0504350,CLARENDON SCHOOL DISTRICT,AR,433
0504370,RECTOR SCHOOL DISTRICT,AR,625
0504380,CLARKSVILLE SCHOOL DISTRICT,AR,2504
0504410,CLINTON SCHOOL DISTRICT,AR,1260
0504560,CONCORD SCHOOL DISTRICT,AR,370
0504590,CONWAY SCHOOL DISTRICT,AR,10212
0504680,COTTER SCHOOL DISTRICT,AR,698
0504740,COUNTY LINE SCHOOL DISTRICT,AR,556
0504800,CROSSETT SCHOOL DISTRICT,AR,1620
0504860,CUTTER MORNING STAR SCHOOL DISTRICT,AR,688
0504890,DANVILLE SCHOOL DISTRICT,AR,824
0504930,DARDANELLE SCHOOL DISTRICT,AR,2116
0504980,DECATUR SCHOOL DISTRICT,AR,613
0505170,DERMOTT SCHOOL DISTRICT,AR,289
0505190,DES ARC SCHOOL DISTRICT,AR,658
0505340,DIERKS SCHOOL DISTRICT,AR,541
0505430,DOVER SCHOOL DISTRICT,AR,1205
0505470,DREW CENTRAL SCHOOL DISTRICT,AR,1262
0505500,DUMAS SCHOOL DISTRICT,AR,818
0505550,EARLE SCHOOL DISTRICT,AR,371
0505580,EAST END SCHOOL DISTRICT,AR,674
0505680,EL DORADO SCHOOL DISTRICT,AR,3921
0505760,ELKINS SCHOOL DISTRICT,AR,1462
0505850,ENGLAND SCHOOL DISTRICT,AR,622
0505970,EUREKA SPRINGS SCHOOL DISTRICT,AR,640
0506060,CAMDEN FAIRVIEW SCHOOL DISTRICT,AR,1995
0506090,FARMINGTON SCHOOL DISTRICT,AR,2987
0506120,FAYETTEVILLE SCHOOL DISTRICT,AR,10291
0506150,FLIPPIN SCHOOL DISTRICT,AR,805
0506210,FORDYCE SCHOOL DISTRICT,AR,659
0506240,FOREMAN SCHOOL DISTRICT,AR,487
0506270,FORREST CITY SCHOOL DISTRICT,AR,2078
0506330,FORT SMITH SCHOOL DISTRICT,AR,14045
0506360,FOUKE SCHOOL DISTRICT,AR,1107
0506420,FOUNTAIN LAKE SCHOOL DISTRICT,AR,1248
0506540,GENTRY SCHOOL DISTRICT,AR,1753
0506630,GLEN ROSE SCHOOL DISTRICT,AR,975
0506690,CENTERPOINT SCHOOL DISTRICT,AR,1005
0506840,GRAVETTE SCHOOL DISTRICT,AR,2133
0506870,GREEN FOREST SCHOOL DISTRICT,AR,1425
0506900,GREENBRIER SCHOOL DISTRICT,AR,3858
0506930,GREENLAND SCHOOL DISTRICT,AR,747
0506990,GREENWOOD SCHOOL DISTRICT,AR,3930
0507110,GURDON SCHOOL DISTRICT,AR,617
0507140,GUY PERKINS SCHOOL DISTRICT,AR,402
0507170,HACKETT SCHOOL DISTRICT,AR,824
0507230,HAMPTON SCHOOL DISTRICT,AR,500
0507290,HARMONY GROVE SCHOOL DISTRICT (Ouachita),AR,827
0507320,HARMONY GROVE SCHOOL DISTRICT (Saline),AR,1269
0507350,HARRISBURG SCHOOL DISTRICT,AR,1070
0507380,HARRISON SCHOOL DISTRICT,AR,2739
0507530,HAZEN SCHOOL DISTRICT,AR,544
0507560,HEBER SPRINGS SCHOOL DISTRICT,AR,1617
0507620,HECTOR SCHOOL DISTRICT,AR,695
0507680,HELENA WEST HELENA SCHOOL DISTRICT,AR,978
0507710,HERMITAGE SCHOOL DISTRICT,AR,425
0507770,HIGHLAND SCHOOL DISTRICT,AR,1499
0507840,HOPE SCHOOL DISTRICT,AR,2212
0507860,HORATIO SCHOOL DISTRICT,AR,648
0507890,HOT SPRINGS SCHOOL DISTRICT,AR,3576
0507920,JESSIEVILLE SCHOOL DISTRICT,AR,791
